expiry,strike,t_e,c_bid,c_ask,c_mid,p_bid,p_ask,p_mid,fwd_bid,disc_bid,fwd_ask,disc_ask,fwd_mid,disc_mid,iv_c_bid,iv_c_ask,iv_c_mid,iv_p_bid,iv_p_ask,iv_p_mid
2023-04-14 16:00:00,1000.0,0.0007420091324200912,3133.5,3141.6,3137.55,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,23.25636422343331,26.684299846319487,25.213916495192315,,14.950413081583509,
2023-04-14 16:00:00,1200.0,0.0007420091324200912,2933.4,2941.6,2937.5,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,20.01638563979348,23.22638968391138,21.871893368030698,,13.067728251008376,
2023-04-14 16:00:00,1400.0,0.0007420091324200912,2733.4,2741.7,2737.55,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,17.346821090460026,20.369569625410342,19.11468371826043,,11.481152472660318,
2023-04-14 16:00:00,1600.0,0.0007420091324200912,2533.4,2541.6,2537.5,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,15.043596860839443,17.869865682601883,16.715593879745516,,10.10916260628698,
2023-04-14 16:00:00,1800.0,0.0007420091324200912,2333.3,2341.6,2337.45,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,12.959347172635983,15.705033692351595,14.613887406236325,,8.89952991596542,
2023-04-14 16:00:00,2000.0,0.0007420091324200912,2133.4,2141.6,2137.5,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,11.193942122523538,13.779225218755034,12.772808259213843,,7.816757808665648,
2023-04-14 16:00:00,2200.0,0.0007420091324200912,1933.4,1941.7,1937.5500000000002,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,9.535165903839685,12.063634321424983,11.114204937617789,,6.835585211782875,
2023-04-14 16:00:00,2400.0,0.0007420091324200912,1733.3,1741.6,1737.4499999999998,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,7.926310242449534,10.46365595164194,9.565846836536503,,5.93734517382989,
2023-04-14 16:00:00,2600.0,0.0007420091324200912,1533.4,1541.7,1537.5500000000002,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,6.520827549879195,9.028466873848366,8.195094601882213,,5.107786379894607,
2023-04-14 16:00:00,2700.0,0.0007420091324200912,1433.4,1441.6,1437.5,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,5.773631902496301,8.326821063527044,7.525441049114264,,4.71516614782925,
2023-04-14 16:00:00,2800.0,0.0007420091324200912,1333.4,1341.6,1337.5,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,4.952185860578051,7.666611167651374,6.892590387647546,,4.335691767139113,
2023-04-14 16:00:00,2900.0,0.0007420091324200912,1234.5,1240.3,1237.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,5.271406620082536,6.824211022755446,6.259139319276322,,3.9682827133189633,
2023-04-14 16:00:00,2950.0,0.0007420091324200912,1184.5,1190.3,1187.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,4.9615071572552685,6.517680455038427,5.96229919058319,,3.7887894773191424,
2023-04-14 16:00:00,3000.0,0.0007420091324200912,1134.5,1140.3,1137.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,4.6522519126520425,6.2161281773241965,5.670528007614282,,3.611946064158632,
2023-04-14 16:00:00,3050.0,0.0007420091324200912,1084.5,1090.3,1087.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,4.34171541501281,5.919350853642839,5.3836493924902955,,3.4376390599909974,
2023-04-14 16:00:00,3100.0,0.0007420091324200912,1034.5,1040.3,1037.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,4.026726942550424,5.627150998939782,5.101495374677654,,3.265758274965677,
2023-04-14 16:00:00,3150.0,0.0007420091324200912,984.6,990.3,987.45,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,3.7917813559152638,5.339335782820058,4.8348577069500625,,3.0961961692766775,
2023-04-14 16:00:00,3200.0,0.0007420091324200912,934.6,940.3,937.45,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,3.4675924168619745,5.055715739096005,4.561531547078148,,2.928847247814826,
2023-04-14 16:00:00,3250.0,0.0007420091324200912,884.5,890.3,887.4,,0.05,,4138.235115835238,0.9956075475684603,4135.488939385942,0.9988343979755656,4136.86202761059,0.9972209727720129,2.9297472417239576,4.7761033335577,4.281813532144218,,2.763607405125442,
